Entity;Code;Year;death_tabac;death_alcool;death_drug
Afghanistan;AFG;2017;89,89175884;0,683062376;1,808736591
Albania;ALB;2017;98,2361137;0,437420501;0,693550613
Algeria;DZA;2017;60,41187263;0,332952904;2,544690543
American Samoa;ASM;2017;73,53796691;0,676749698;0,93315379
Andean Latin America;;2017;29,6958716;1,789477826;1,312792172
Andorra;AND;2017;57,76983271;1,548766846;2,343227134
Angola;AGO;2017;87,57827391;1,591525063;0,889448535
Antigua and Barbuda;ATG;2017;38,4235104;6,237552965;0,910440056
Argentina;ARG;2017;96,50562687;1,705537993;1,509010464
Armenia;ARM;2017;116,9049207;1,532459302;1,128132534
Australasia;;2017;51,28124277;1,6922155;4,052346435
Australia;AUS;2017;50,82643754;1,80932285;4,492281311
Austria;AUT;2017;63,64742712;3,307956001;1,95738674
Azerbaijan;AZE;2017;142,203312;3,459120231;0,684854009
Bahamas;BHS;2017;42,93432045;5,040807137;1,09627891
Bahrain;BHR;2017;45,8463997;0,689316208;0,880833511
Bangladesh;BGD;2017;80,06533729;0,184877962;2,547746391
Barbados;BRB;2017;34,30293608;1,747775196;0,492724195
Belarus;BLR;2017;134,8274856;19,49167062;3,201843306
Belgium;BEL;2017;84,0637359;2,956368527;1,879766216
Belize;BLZ;2017;51,52107824;3,553495449;0,596949257
Benin;BEN;2017;45,24862603;2,445825735;1,452856756
Bermuda;BMU;2017;48,71336609;0,920696122;1,600578359
Bhutan;BTN;2017;54,18762201;1,646354109;0,564005949
Bolivia;BOL;2017;49,83994108;3,243133933;1,609375951
Bosnia and Herzegovina;BIH;2017;141,7362511;2,036536065;0,744707162
Botswana;BWA;2017;74,19458052;1,606033356;1,241029793
Brazil;BRA;2017;74,85027719;4,523351253;0,977098706
Brunei;BRN;2017;104,5636837;0,362097178;0,784587665
Bulgaria;BGR;2017;141,2078719;1,028816159;0,891973322
Burkina Faso;BFA;2017;36,26698362;2,683899523;1,115509666
Burundi;BDI;2017;67,48647767;2,409521925;0,51682909
Cambodia;KHM;2017;128,8397073;1,400671937;0,411251116
Cameroon;CMR;2017;45,91375531;2,635712223;3,214775842
Canada;CAN;2017;70,30139157;2,31808183;4,949341954
Cape Verde;CPV;2017;29,29560126;1,841065152;3,334861243
Caribbean;;2017;75,48223452;3,066225555;0,998513862
Central African Republic;CAF;2017;112,5704388;2,088963129;1,128620725
Central Asia;;2017;110,4369165;4,06066176;1,801683047
Central Europe;;2017;114,4845918;4,42621902;0,834894408
Central Europe, Eastern Europe, and Central Asia;;2017;124,7398527;9,599643411;3,031816333
Central Latin America;;2017;45,35886123;3,521813793;1,007098028
Central Sub-Saharan Africa;;2017;59,92487801;1,615204948;1,043837558
Chad;TCD;2017;31,58328252;1,764461951;1,171018516
Chile;CHL;2017;44,70387644;3,032238838;0,604145669
China;CHN;2017;120,2175572;1,102623507;1,278642145
Colombia;COL;2017;35,97617594;0,225271778;0,447684381
Comoros;COM;2017;41,30663157;1,807579193;0,654034983
Congo;COG;2017;67,39426961;2,033114486;1,780325039
Costa Rica;CRI;2017;45,06319657;2,245190634;0,984703394
Cote d'Ivoire;CIV;2017;59,95804263;2,498241279;1,92833551
Croatia;HRV;2017;105,0277661;3,387685642;1,460759507
Cuba;CUB;2017;97,76632196;3,956026713;0,449127769
Cyprus;CYP;2017;77,61202628;0,530348691;1,102616525
Czech Republic;CZE;2017;97,95603547;2,884034335;0,995178822
Democratic Republic of Congo;COD;2017;48,23186082;1,548280508;1,013430919
Denmark;DNK;2017;97,11957723;8,59231751;3,768315522
Djibouti;DJI;2017;68,21835964;2,311883372;0,808152956
Dominica;DMA;2017;40,56674657;5,677121648;1,312301733
Dominican Republic;DOM;2017;85,93314443;1,63461444;1,193141346
East Asia;;2017;119,1648779;1,11131069;1,279512679
Eastern Europe;;2017;134,3019496;14,32947089;4,785262151
Eastern Sub-Saharan Africa;;2017;54,49073442;2,349058808;0,688828926
Ecuador;ECU;2017;33,13788959;2,738354717;1,411818084
Egypt;EGY;2017;122,6921234;0,246577408;0,125843498
El Salvador;SLV;2017;38,82060686;16,38353991;1,052801372
England;;2017;65,32346613;2,502353801;3,757420159
Equatorial Guinea;GNQ;2017;39,50671447;1,657794313;1,122401311
Eritrea;ERI;2017;48,88004036;3,635878775;1,052962769
Estonia;EST;2017;81,79090725;12,11290494;7,143489796
Ethiopia;ETH;2017;25,32089741;1,86402799;0,508443618
Fiji;FJI;2017;121,5020213;0,226569532;0,545479037
Finland;FIN;2017;45,18420836;6,97948832;4,724441429
France;FRA;2017;57,40011156;3,701432818;1,802816789
Gabon;GAB;2017;62,18501318;2,074887804;1,731307611
Gambia;GMB;2017;72,57536087;1,986226634;1,840055545
Georgia;GEO;2017;116,2025421;1,431355128;1,563080625
Germany;DEU;2017;73,9993414;4,633635698;2,064063917
Ghana;GHA;2017;40,92843416;2,242903584;2,72283128
Greece;GRC;2017;100,0396022;0,243506743;1,907594153
Greenland;GRL;2017;185,65073;12,43988909;1,487115219
Grenada;GRD;2017;56,43999484;3,077756343;1,31965819
Guam;GUM;2017;63,8437173;1,184662713;1,001228495
Guatemala;GTM;2017;36,91625368;12,66753919;2,347778945
Guinea;GIN;2017;42,39267416;1,968618649;1,59070058
Guinea-Bissau;GNB;2017;44,26223792;2,202784309;1,937828927
Guyana;GUY;2017;67,23038257;5,638378105;1,533447771
Haiti;HTI;2017;62,34454384;3,627278885;0,749858755
High SDI;;2017;67,8086663;2,547829744;6,408960439
High-income;;2017;66,34426309;2,383653292;6,871724785
High-income Asia Pacific;;2017;52,53028143;0,647298913;0,288898803
High-middle SDI;;2017;108,0201119;3,107054328;1,763970316
Honduras;HND;2017;70,26640326;5,397523673;2,044304324
Hungary;HUN;2017;126,1236642;3,25720949;0,464947237
Iceland;ISL;2017;58,22541354;2,29544074;3,385261878
India;IND;2017;91,57628926;2,318877548;0,930127099
Indonesia;IDN;2017;116,4797803;0,313556326;0,326561187
Iran;IRN;2017;59,50252218;0,329207094;3,684175037
Iraq;IRQ;2017;54,05199986;0,24625281;1,506821874
Ireland;IRL;2017;76,07659241;1,601591207;3,435883136
Israel;ISR;2017;52,5020783;0,591714324;0,695814855
